"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 120","Range of Values",1763,1763,NA
"666","No response",3,1766,NA
"888","Could not obtain",2,1768,NA
".","Missing",121,1889,NA
