"WTSPO42.Code.or.Value","WTSPO42.Value.Description","WTSPO42.Count","WTSPO42.Cumulative","WTSPO42.Skip.to.Item"
"0.0000000 to 843160.7529100","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
