"WTSSMC2Y.Code.or.Value","WTSSMC2Y.Value.Description","WTSSMC2Y.Count","WTSSMC2Y.Cumulative","WTSSMC2Y.Skip.to.Item"
"1250.36054 to 298307.64146","Range of Values",4128,4128,NA
"0","No lab specimen",0,4128,NA
".","Missing",0,4128,NA
