"OHASCST4.Code.or.Value","OHASCST4.Value.Description","OHASCST4.Count","OHASCST4.Cumulative","OHASCST4.Skip.to.Item"
"1","Complete",5206,5206,NA
"2","Partial",60,5266,NA
"3","Not done",1492,6758,NA
".","Missing",0,6758,NA
