"WBXP001.Code.or.Value","WBXP001.Value.Description","WBXP001.Count","WBXP001.Cumulative","WBXP001.Skip.to.Item"
"-161.4187 to 146.7616","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
