"MIAPROXY.Code.or.Value","MIAPROXY.Value.Description","MIAPROXY.Count","MIAPROXY.Cumulative","MIAPROXY.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",6675,6713,NA
".","Missing",3043,9756,NA
