"BMXCALF.Code.or.Value","BMXCALF.Value.Description","BMXCALF.Count","BMXCALF.Cumulative","BMXCALF.Skip.to.Item"
"18 to 59.6","Range of Values",7306,7306,NA
".","Missing",1976,9282,NA
