"URXUHG.Code.or.Value","URXUHG.Value.Description","URXUHG.Count","URXUHG.Cumulative","URXUHG.Skip.to.Item"
"0.1 to 61.04","Range of Values",1960,1960,NA
".","Missing",7969,9929,NA
