"OSD030bc.Code.or.Value","OSD030bc.Value.Description","OSD030bc.Count","OSD030bc.Cumulative","OSD030bc.Skip.to.Item"
"8 to 65","Range of Values",14,14,NA
"85","85 or older",0,14,NA
"77777","Refused",0,14,NA
"99999","Don't know",1,15,NA
".","Missing",4865,4880,NA
