"SMQ905.Code.or.Value","SMQ905.Value.Description","SMQ905.Count","SMQ905.Cumulative","SMQ905.Skip.to.Item"
"0 to 30","Range of Values",1063,1063,NA
"77","Refused",0,1063,NA
"99","Don't know",1,1064,NA
".","Missing",5937,7001,NA
