"BIXC010K.Code.or.Value","BIXC010K.Value.Description","BIXC010K.Count","BIXC010K.Cumulative","BIXC010K.Skip.to.Item"
"16.39 to 194.15","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
