"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"0.71 to 377.28","Range of Values",3379,3379,NA
".","Missing",287,3666,NA
