"SSII4FCM.Code.or.Value","SSII4FCM.Value.Description","SSII4FCM.Count","SSII4FCM.Cumulative","SSII4FCM.Skip.to.Item"
"0 to 100000","Range of Values",892,892,NA
".","Missing",54,946,NA
