"BIXC020K.Code.or.Value","BIXC020K.Value.Description","BIXC020K.Count","BIXC020K.Cumulative","BIXC020K.Skip.to.Item"
"20.16 to 140.24","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
