"DRD370NQ.Code.or.Value","DRD370NQ.Value.Description","DRD370NQ.Count","DRD370NQ.Cumulative","DRD370NQ.Skip.to.Item"
"1 to 8","Range of Values",51,51,NA
".","Missing",10426,10477,NA
