"VIXKRM2.Code.or.Value","VIXKRM2.Value.Description","VIXKRM2.Count","VIXKRM2.Cumulative","VIXKRM2.Skip.to.Item"
"4.96 to 9.39","Range of Values",6429,6429,NA
"88","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
