"DXXWDBMD.Code.or.Value","DXXWDBMD.Value.Description","DXXWDBMD.Count","DXXWDBMD.Cumulative","DXXWDBMD.Skip.to.Item"
"0.148 to 1.685","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
