"DS1TSFAT.Code.or.Value","DS1TSFAT.Value.Description","DS1TSFAT.Count","DS1TSFAT.Cumulative","DS1TSFAT.Skip.to.Item"
"0.023 to 3.5","Range of Values",129,129,NA
".","Missing",9209,9338,NA
