"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 13.588","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
