"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.86 to 14.87","Range of Values",7429,7429,NA
".","Missing",915,8344,NA
