"DSQTCALC.Code.or.Value","DSQTCALC.Value.Description","DSQTCALC.Count","DSQTCALC.Cumulative","DSQTCALC.Skip.to.Item"
"0.05 to 2520","Range of Values",2401,2401,NA
".","Missing",7570,9971,NA
