"LBX167LA.Code.or.Value","LBX167LA.Value.Description","LBX167LA.Count","LBX167LA.Cumulative","LBX167LA.Skip.to.Item"
"0.9 to 34.6","Range of Values",2298,2298,NA
".","Missing",249,2547,NA
