"MCD093.Code.or.Value","MCD093.Value.Description","MCD093.Count","MCD093.Cumulative","MCD093.Skip.to.Item"
"1","Before 1972",162,162,NA
"2","1972 - 1991",203,365,NA
"3","1992 to present",307,672,NA
"7","Refused",0,672,NA
"9","Don't know",20,692,NA
".","Missing",9130,9822,NA
