"TYXP144.Code.or.Value","TYXP144.Value.Description","TYXP144.Count","TYXP144.Cumulative","TYXP144.Skip.to.Item"
"-297 to 112","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
