"DS2TMAGN.Code.or.Value","DS2TMAGN.Value.Description","DS2TMAGN.Count","DS2TMAGN.Cumulative","DS2TMAGN.Skip.to.Item"
"0.4 to 1650","Range of Values",1205,1205,NA
".","Missing",8608,9813,NA
