"WBXP021.Code.or.Value","WBXP021.Value.Description","WBXP021.Count","WBXP021.Cumulative","WBXP021.Skip.to.Item"
"-24.8781 to 159.2326","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
