"LBDMIRLC.Code.or.Value","LBDMIRLC.Value.Description","LBDMIRLC.Count","LBDMIRLC.Cumulative","LBDMIRLC.Skip.to.Item"
"0","detectable result",162,162,NA
"1","below detectable limit",1691,1853,NA
".","Missing",421,2274,NA
