"WTSA2YRA.Code.or.Value","WTSA2YRA.Value.Description","WTSA2YRA.Count","WTSA2YRA.Cumulative","WTSA2YRA.Skip.to.Item"
"0 to 537270.45707","Range of Values",2524,2524,NA
".","Missing",0,2524,NA
