"DRD370UQ.Code.or.Value","DRD370UQ.Value.Description","DRD370UQ.Count","DRD370UQ.Cumulative","DRD370UQ.Skip.to.Item"
"1 to 25","Range of Values",408,408,NA
".","Missing",9354,9762,NA
