"MPQ120j.Code.or.Value","MPQ120j.Value.Description","MPQ120j.Count","MPQ120j.Cumulative","MPQ120j.Skip.to.Item"
"19","Lower arm - left",82,82,NA
".","Missing",5329,5411,NA
