"LBXPFDE.Code.or.Value","LBXPFDE.Value.Description","LBXPFDE.Count","LBXPFDE.Cumulative","LBXPFDE.Skip.to.Item"
"0.07 to 17.8","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
