"OHAPOS.Code.or.Value","OHAPOS.Value.Description","OHAPOS.Count","OHAPOS.Cumulative","OHAPOS.Skip.to.Item"
"1","Yes",8526,8526,NA
"2","No",332,8858,NA
".","Missing",307,9165,NA
