"LBDVIDMS.Code.or.Value","LBDVIDMS.Value.Description","LBDVIDMS.Count","LBDVIDMS.Cumulative","LBDVIDMS.Skip.to.Item"
"13.6 to 197","Range of Values",7807,7807,NA
".","Missing",840,8647,NA
