"PSQ200B.Code.or.Value","PSQ200B.Value.Description","PSQ200B.Count","PSQ200B.Cumulative","PSQ200B.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",119,121,NA
