"TYXP186.Code.or.Value","TYXP186.Value.Description","TYXP186.Count","TYXP186.Cumulative","TYXP186.Skip.to.Item"
"-293 to 6","Range of Values",1413,1413,NA
".","Missing",7056,8469,NA
