"MCQ260DB.Code.or.Value","MCQ260DB.Value.Description","MCQ260DB.Count","MCQ260DB.Cumulative","MCQ260DB.Skip.to.Item"
"2","Father",456,456,"MCQ250E"
".","Missing",9037,9493,""
