"URXCNP.Code.or.Value","URXCNP.Value.Description","URXCNP.Count","URXCNP.Cumulative","URXCNP.Skip.to.Item"
"0.42 to 672.6","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
