"DR1ICAFF.Code.or.Value","DR1ICAFF.Value.Description","DR1ICAFF.Count","DR1ICAFF.Cumulative","DR1ICAFF.Skip.to.Item"
"0 to 3552","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
