"SSBDCPPL.Code.or.Value","SSBDCPPL.Value.Description","SSBDCPPL.Count","SSBDCPPL.Cumulative","SSBDCPPL.Skip.to.Item"
"0","At or above the detection limit",1937,1937,NA
"1","Below lower detection limit",117,2054,NA
".","Missing",0,2054,NA
