"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"74 to 266","Range of Values",7126,7126,NA
".","Missing",3351,10477,NA
