"DID310S.Code.or.Value","DID310S.Value.Description","DID310S.Count","DID310S.Cumulative","DID310S.Skip.to.Item"
"70 to 180","Range of Values",214,214,NA
"6666","Provider did not specify goal",414,628,NA
"7777","Refused",0,628,NA
"9999","Don't know",141,769,NA
".","Missing",8897,9666,NA
