"DS1IFA.Code.or.Value","DS1IFA.Value.Description","DS1IFA.Count","DS1IFA.Cumulative","DS1IFA.Skip.to.Item"
"1.749 to 4000","Range of Values",1911,1911,NA
".","Missing",3812,5723,NA
