"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"19 to 1600","Range of Values",3089,3089,NA
".","Missing",263,3352,NA
