"DXXL4BMC.Code.or.Value","DXXL4BMC.Value.Description","DXXL4BMC.Count","DXXL4BMC.Cumulative","DXXL4BMC.Skip.to.Item"
"7.08 to 38.24","Range of Values",2637,2637,NA
".","Missing",1071,3708,NA
