"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.21 to 5440","Range of Values",8398,8398,NA
".","Missing",193,8591,NA
