"DS1IPHOS.Code.or.Value","DS1IPHOS.Value.Description","DS1IPHOS.Count","DS1IPHOS.Cumulative","DS1IPHOS.Skip.to.Item"
"0.02 to 1100","Range of Values",648,648,NA
".","Missing",5046,5694,NA
