"CVDS1G.Code.or.Value","CVDS1G.Value.Description","CVDS1G.Count","CVDS1G.Cumulative","CVDS1G.Skip.to.Item"
"0.5 to 8.5","Range of Values",3038,3038,NA
".","Missing",1564,4602,NA
