"FSQ695.Code.or.Value","FSQ695.Value.Description","FSQ695.Count","FSQ695.Cumulative","FSQ695.Skip.to.Item"
"1 to 9","Range of Values",1640,1640,NA
"77","Refused",1,1641,NA
"99","Don't know",61,1702,NA
".","Missing",8835,10537,NA
