"VTQ280G.Code.or.Value","VTQ280G.Value.Description","VTQ280G.Count","VTQ280G.Cumulative","VTQ280G.Skip.to.Item"
"1","Yes",142,142,NA
"2","No",2976,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
