"VIXKRCG.Code.or.Value","VIXKRCG.Value.Description","VIXKRCG.Count","VIXKRCG.Cumulative","VIXKRCG.Skip.to.Item"
"0 to 180","Range of Values",6339,6339,NA
"888","Could not obtain",61,6400,NA
".","Missing",358,6758,NA
