"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0 to 4.1","Range of Values",2756,2756,NA
"777","Refused",2,2758,NA
"888","Could not obtain",31,2789,NA
".","Missing",245,3034,NA
