"MCQ260CA.Code.or.Value","MCQ260CA.Value.Description","MCQ260CA.Count","MCQ260CA.Cumulative","MCQ260CA.Skip.to.Item"
"1","Mother",266,266,"MCQ250E"
"77","Refused",0,266,"MCQ250E"
"99","Don't know",3,269,"MCQ250E"
".","Missing",10201,10470,""
