"DS1TNIAC.Code.or.Value","DS1TNIAC.Value.Description","DS1TNIAC.Count","DS1TNIAC.Cumulative","DS1TNIAC.Skip.to.Item"
"0.2 to 1200","Range of Values",1661,1661,NA
".","Missing",8592,10253,NA
