"RFXC095.Code.or.Value","RFXC095.Value.Description","RFXC095.Count","RFXC095.Cumulative","RFXC095.Skip.to.Item"
"-6.218 to 4.552","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
