"SSTTGV.Code.or.Value","SSTTGV.Value.Description","SSTTGV.Count","SSTTGV.Cumulative","SSTTGV.Skip.to.Item"
"0.43 to 77.08","Range of Values",1699,1699,NA
".","Missing",18,1717,NA
