"DS2TVB6.Code.or.Value","DS2TVB6.Value.Description","DS2TVB6.Count","DS2TVB6.Cumulative","DS2TVB6.Skip.to.Item"
"0.003 to 10010","Range of Values",1723,1723,NA
".","Missing",8090,9813,NA
