"IMQ081B.Code.or.Value","IMQ081B.Value.Description","IMQ081B.Count","IMQ081B.Cumulative","IMQ081B.Skip.to.Item"
"2","GARDASIL",199,199,NA
".","Missing",9055,9254,NA
