"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",114355,114355,NA
"2","Spanish",16510,130865,NA
"3","English and Spanish",1265,132130,NA
"4","Other",21,132151,NA
".","Missing",0,132151,NA
