"DXAFMRK.Code.or.Value","DXAFMRK.Value.Description","DXAFMRK.Count","DXAFMRK.Cumulative","DXAFMRK.Skip.to.Item"
"1.113 to 1.1532","Range of Values",6425,6425,NA
".","Missing",1295,7720,NA
