"DS2TSODI.Code.or.Value","DS2TSODI.Value.Description","DS2TSODI.Count","DS2TSODI.Cumulative","DS2TSODI.Skip.to.Item"
"1 to 360","Range of Values",485,485,NA
".","Missing",8853,9338,NA
