"RFXC132.Code.or.Value","RFXC132.Value.Description","RFXC132.Count","RFXC132.Cumulative","RFXC132.Skip.to.Item"
"-7.661 to 6.577","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
