"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",65,65,NA
"2","No",7931,7996,NA
".","Missing",370,8366,NA
