"URXVOL1.Code.or.Value","URXVOL1.Value.Description","URXVOL1.Count","URXVOL1.Cumulative","URXVOL1.Skip.to.Item"
"0 to 525","Range of Values",8291,8291,NA
".","Missing",317,8608,NA
