"WBXP009.Code.or.Value","WBXP009.Value.Description","WBXP009.Count","WBXP009.Cumulative","WBXP009.Skip.to.Item"
"-49.4989 to 174.4808","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
